"t"	"Luma"	"Luminance"	"Shutter Speed (s)"	"Aperture (f/N)"	"ISO"
9.802216377E0	7.666005547E-1	2.946441081E1	2.225847000E-3	1.799999952E0	2.500000000E1
9.835722108E0	7.594652993E-1	3.039160022E1	2.114554000E-3	1.799999952E0	2.500000000E1
9.869217454E0	7.534950658E-1	3.160030526E1	2.008826000E-3	1.799999952E0	2.500000000E1
9.902557685E0	7.552123646E-1	3.339932682E1	1.908384000E-3	1.799999952E0	2.500000000E1
9.969541454E0	7.418327528E-1	3.394621932E1	1.812964000E-3	1.799999952E0	2.500000000E1
1.000287199E1	7.418125967E-1	3.570869959E1	1.722315000E-3	1.799999952E0	2.500000000E1
1.006981530E1	7.280701754E-1	3.643676253E1	1.636199000E-3	1.799999952E0	2.500000000E1
1.010339415E1	7.122839267E-1	3.670966213E1	1.554389000E-3	1.799999952E0	2.500000000E1
1.017018445E1	7.063499742E-1	3.788728837E1	1.476669000E-3	1.799999952E0	2.500000000E1
1.020362299E1	6.994122485E-1	4.114441469E1	1.332693000E-3	1.799999952E0	2.500000000E1
1.023695826E1	6.983762255E-1	4.126133315E1	1.332693000E-3	1.799999952E0	2.500000000E1
1.027039857E1	6.910837526E-1	4.264060213E1	1.266058000E-3	1.799999952E0	2.500000000E1
1.030383072E1	6.864962268E-1	4.652033225E1	1.142617000E-3	1.799999952E0	2.500000000E1
1.033726138E1	6.804897123E-1	4.556329904E1	1.142617000E-3	1.799999952E0	2.500000000E1
1.037059449E1	6.787643511E-1	4.797516818E1	1.085486000E-3	1.799999952E0	2.500000000E1
1.040402218E1	6.698997033E-1	4.937172257E1	1.031211000E-3	1.799999952E0	2.500000000E1
1.043744572E1	6.658080173E-1	5.085640848E1	9.796500000E-4	1.799999952E0	2.500000000E1
1.047085734E1	6.609826496E-1	5.335309646E1	9.306670000E-4	1.799999952E0	2.500000000E1
1.053767792E1	6.436524445E-1	5.317629066E1	8.841330000E-4	1.799999952E0	2.500000000E1
1.057101307E1	6.423906734E-1	5.585139140E1	8.399260000E-4	1.799999952E0	2.500000000E1
1.060441768E1	6.344370808E-1	5.788263377E1	7.979290000E-4	1.799999952E0	2.500000000E1
1.067121472E1	6.193522639E-1	5.929704694E1	7.580320000E-4	1.799999952E0	2.500000000E1
1.070460895E1	6.131320949E-1	6.006906881E1	7.201300000E-4	1.799999952E0	2.500000000E1
1.073800249E1	6.057428728E-1	6.257130131E1	6.841230000E-4	1.799999952E0	2.500000000E1
1.077133815E1	6.050575658E-1	6.584229491E1	6.499160000E-4	1.799999952E0	2.500000000E1
1.080472584E1	5.716831140E-1	6.358359392E1	6.174200000E-4	1.799999952E0	2.500000000E1
1.087149703E1	4.293246904E-3	0.000000000E0	5.865490000E-4	1.799999952E0	2.500000000E1
1.093821272E1	4.160216718E-3	0.000000000E0	5.572210000E-4	1.799999952E0	2.500000000E1
1.097159415E1	4.204560114E-3	0.000000000E0	5.848630000E-4	1.799999952E0	2.500000000E1
1.100497099E1	4.160216718E-3	0.000000000E0	6.138760000E-4	1.799999952E0	2.500000000E1
1.103834218E1	4.131998194E-3	0.000000000E0	6.443290000E-4	1.799999952E0	2.500000000E1
1.107171761E1	4.115873323E-3	0.000000000E0	6.762920000E-4	1.799999952E0	2.500000000E1
1.113842561E1	4.091686017E-3	0.000000000E0	7.098410000E-4	1.799999952E0	2.500000000E1
1.117173149E1	4.095717234E-3	0.000000000E0	7.450540000E-4	1.799999952E0	2.500000000E1
1.120503142E1	4.067498710E-3	0.000000000E0	7.820140000E-4	1.799999952E0	2.500000000E1
1.123833549E1	4.091686017E-3	0.000000000E0	8.208080000E-4	1.799999952E0	2.500000000E1
1.127163061E1	4.091686017E-3	0.000000000E0	8.615260000E-4	1.799999952E0	2.500000000E1
1.133827245E1	4.099748452E-3	0.000000000E0	9.042640000E-4	1.799999952E0	2.500000000E1
1.137159976E1	4.091686017E-3	0.000000000E0	9.491220000E-4	1.799999952E0	2.500000000E1
1.140489161E1	4.136029412E-3	0.000000000E0	9.962050000E-4	1.799999952E0	2.500000000E1
1.143819022E1	4.115873323E-3	0.000000000E0	1.045624000E-3	1.799999952E0	2.500000000E1
1.150476411E1	4.115873323E-3	0.000000000E0	1.097495000E-3	1.799999952E0	2.500000000E1
1.157133542E1	4.148123065E-3	0.000000000E0	1.151939000E-3	1.799999952E0	2.500000000E1
1.160461195E1	4.144091847E-3	0.000000000E0	1.209084000E-3	1.799999952E0	2.500000000E1
1.163789680E1	4.095717234E-3	0.000000000E0	1.269064000E-3	1.799999952E0	2.500000000E1
1.167123061E1	4.119904541E-3	0.000000000E0	1.332019000E-3	1.799999952E0	2.500000000E1
1.170450218E1	4.140060630E-3	0.000000000E0	1.398097000E-3	1.799999952E0	2.500000000E1
1.173783984E1	4.119904541E-3	0.000000000E0	1.467453000E-3	1.799999952E0	2.500000000E1
1.177111715E1	4.160216718E-3	0.000000000E0	1.540250000E-3	1.799999952E0	2.500000000E1
1.180437618E1	4.131998194E-3	0.000000000E0	1.696856000E-3	1.799999952E0	2.500000000E1
1.183764222E1	4.115873323E-3	0.000000000E0	1.696856000E-3	1.799999952E0	2.500000000E1
1.187098107E1	4.136029412E-3	0.000000000E0	1.781033000E-3	1.799999952E0	2.500000000E1
1.190416126E1	4.152154283E-3	0.000000000E0	1.869386000E-3	1.799999952E0	2.500000000E1
1.197075168E1	4.119904541E-3	0.000000000E0	1.962122000E-3	1.799999952E0	2.500000000E1
1.200391399E1	4.115873323E-3	0.000000000E0	2.059458000E-3	1.799999952E0	2.500000000E1
1.203715384E1	4.099748452E-3	0.000000000E0	2.161623000E-3	1.799999952E0	2.500000000E1
1.207038911E1	4.152154283E-3	0.000000000E0	2.268856000E-3	1.799999952E0	2.500000000E1
1.210362399E1	4.140060630E-3	0.000000000E0	2.381409000E-3	1.799999952E0	2.500000000E1
1.213696138E1	4.152154283E-3	0.000000000E0	2.499545000E-3	1.799999952E0	2.500000000E1
1.220352503E1	4.115873323E-3	0.000000000E0	2.623542000E-3	1.799999952E0	2.500000000E1
1.223674203E1	4.111842105E-3	0.000000000E0	2.890294000E-3	1.799999952E0	2.500000000E1
1.226995841E1	4.140060630E-3	0.000000000E0	3.033675000E-3	1.799999952E0	2.500000000E1
1.230303499E1	4.144091847E-3	0.000000000E0	3.033675000E-3	1.799999952E0	2.500000000E1
1.236957011E1	4.172310372E-3	0.000000000E0	3.184169000E-3	1.799999952E0	2.500000000E1
1.240275303E1	4.164247936E-3	0.000000000E0	3.342128000E-3	1.799999952E0	2.500000000E1
1.243593664E1	4.168279154E-3	0.000000000E0	3.507923000E-3	1.799999952E0	2.500000000E1
1.246911153E1	4.172310372E-3	0.000000000E0	3.681943000E-3	1.799999952E0	2.500000000E1
1.250227695E1	4.148123065E-3	0.000000000E0	3.864596000E-3	1.799999952E0	2.500000000E1
1.253561103E1	4.164247936E-3	0.000000000E0	4.056310000E-3	1.799999952E0	2.500000000E1
1.256877518E1	4.188435243E-3	0.000000000E0	4.257534000E-3	1.799999952E0	2.500000000E1
1.263505641E1	4.144091847E-3	0.000000000E0	4.468741000E-3	1.799999952E0	2.500000000E1
1.270130953E1	4.200528896E-3	0.000000000E0	4.690425000E-3	1.799999952E0	2.500000000E1
1.273464430E1	4.180372807E-3	0.000000000E0	4.923106000E-3	1.799999952E0	2.500000000E1
1.276775141E1	4.184404025E-3	0.000000000E0	5.167330000E-3	1.799999952E0	2.500000000E1
1.280084988E1	4.172310372E-3	0.000000000E0	5.423670000E-3	1.799999952E0	2.500000000E1
1.283394222E1	4.160216718E-3	0.000000000E0	5.692726000E-3	1.799999952E0	2.500000000E1
1.290034253E1	4.196497678E-3	0.000000000E0	5.975129000E-3	1.799999952E0	2.500000000E1
1.293367984E1	4.156185501E-3	0.000000000E0	6.271542000E-3	1.799999952E0	2.500000000E1
1.296674257E1	4.144091847E-3	0.000000000E0	6.582659000E-3	1.799999952E0	2.500000000E1
1.299978749E1	4.148123065E-3	0.000000000E0	6.909210000E-3	1.799999952E0	2.500000000E1
1.303282534E1	4.176341589E-3	0.000000000E0	7.251961000E-3	1.799999952E0	2.500000000E1
1.309883607E1	4.176341589E-3	0.000000000E0	7.611715000E-3	1.799999952E0	2.500000000E1
1.316479795E1	4.160216718E-3	0.000000000E0	7.989315000E-3	1.799999952E0	2.500000000E1
1.319812618E1	4.164247936E-3	0.000000000E0	8.385647000E-3	1.799999952E0	2.500000000E1
1.323066968E1	4.152154283E-3	0.000000000E0	8.801640000E-3	1.799999952E0	2.500000000E1
1.326400434E1	4.156185501E-3	0.000000000E0	9.238270000E-3	1.799999952E0	2.500000000E1
1.329691653E1	4.180372807E-3	0.000000000E0	9.696560000E-3	1.799999952E0	2.500000000E1
1.333024614E1	4.160216718E-3	0.000000000E0	1.017758500E-2	1.799999952E0	2.500000000E1
1.339600288E1	4.180372807E-3	0.000000000E0	1.068247300E-2	1.799999952E0	2.500000000E1
1.342929695E1	4.200528896E-3	0.000000000E0	1.176863000E-2	1.799999952E0	2.500000000E1
1.346263314E1	4.216653767E-3	0.000000000E0	1.176863000E-2	1.799999952E0	2.500000000E1
1.352930707E1	4.200528896E-3	0.000000000E0	1.235244600E-2	1.799999952E0	2.500000000E1
1.356264476E1	4.244872291E-3	0.000000000E0	1.296522400E-2	1.799999952E0	2.500000000E1
1.359597876E1	4.281153251E-3	0.000000000E0	1.360840000E-2	1.799999952E0	2.500000000E1
1.366265160E1	4.317434211E-3	0.000000000E0	1.428348300E-2	1.799999952E0	2.500000000E1
1.369598922E1	4.269059598E-3	0.000000000E0	1.499205500E-2	1.799999952E0	2.500000000E1
1.372932722E1	4.285184469E-3	0.000000000E0	1.573577800E-2	1.799999952E0	2.500000000E1
1.376266864E1	4.244872291E-3	0.000000000E0	1.651639500E-2	1.799999952E0	2.500000000E1
1.379599522E1	4.248903509E-3	0.000000000E0	1.733573700E-2	1.799999952E0	2.500000000E1
1.382933449E1	4.305340557E-3	0.000000000E0	1.819572500E-2	1.799999952E0	2.500000000E1
1.389601303E1	4.345652735E-3	0.000000000E0	1.909837500E-2	1.799999952E0	2.500000000E1
1.392934603E1	4.297278122E-3	0.000000000E0	2.004580400E-2	1.799999952E0	2.500000000E1
1.396269303E1	4.353715170E-3	0.000000000E0	2.104023300E-2	1.799999952E0	2.500000000E1
1.399601891E1	4.422245872E-3	0.000000000E0	2.208399300E-2	1.799999952E0	2.500000000E1
1.402934784E1	4.414183437E-3	0.000000000E0	2.317953200E-2	1.799999952E0	2.500000000E1
1.409602395E1	4.470620485E-3	0.000000000E0	2.432941800E-2	1.799999952E0	2.500000000E1
1.416269441E1	4.490776574E-3	0.000000000E0	2.553634700E-2	1.799999952E0	2.500000000E1
1.419603284E1	4.446433179E-3	0.000000000E0	2.680315000E-2	1.799999952E0	2.500000000E1
1.422937295E1	4.466589267E-3	0.000000000E0	2.813279600E-2	1.799999952E0	2.500000000E1
