"t"	"x"	"y"	"z"	"magnitud"
1.659376091E0	2.596927834E1	-6.217018127E0	1.036220551E0	2.672318253E1
1.667610207E0	2.944728661E1	2.864667892E0	6.025199294E-1	2.959243215E1
1.675843899E0	3.190806961E1	1.145586395E1	7.184580564E-1	3.390984971E1
1.684077322E0	3.526375580E1	1.887528229E1	-3.927648067E-2	3.999762864E1
1.692311014E0	3.813299179E1	2.388509178E1	-1.646907330E-1	4.499610867E1
1.700546591E0	4.030990601E1	2.785524178E1	2.016374826E0	4.903946150E1
1.708781283E0	4.142356491E1	3.052434921E1	5.200804710E0	5.171746315E1
1.717015745E0	4.093372726E1	3.247888184E1	8.517218590E0	5.294327914E1
1.725250206E0	3.916880798E1	3.335103226E1	1.199250221E1	5.282335639E1
1.733485437E0	3.706871033E1	3.198945618E1	1.291970062E1	5.063924620E1
1.741719360E0	3.427778625E1	2.972427368E1	1.258235455E1	4.708306195E1
1.749963014E0	3.070755386E1	2.681081390E1	1.043885803E1	4.208020156E1
1.758198283E0	2.611630249E1	2.319004631E1	5.143087864E0	3.530284488E1
1.766434745E0	2.061873627E1	1.824126816E1	-2.694855690E0	2.766113513E1
1.774669052E0	1.600759888E1	1.484552193E1	-7.372684479E0	2.304320333E1
1.782904552E0	1.308548164E1	1.166264534E1	-9.058827400E0	1.973092699E1
1.791138975E0	1.183599281E1	8.580783844E0	-8.815747261E0	1.707155462E1
1.799373052E0	1.192872810E1	5.118771553E0	-7.223576546E0	1.485518208E1
1.807608552E0	1.257633877E1	1.199132919E0	-4.273105145E0	1.333647795E1
1.815844283E0	1.347467613E1	-2.887538433E0	-1.720060706E-1	1.378166758E1
1.824077552E0	1.417954350E1	-6.829584599E0	4.058883667E0	1.625352934E1
1.832311206E0	1.376031494E1	-1.094973278E1	7.002063751E0	1.892806942E1
1.840543937E0	1.295212936E1	-1.439718151E1	8.095709801E0	2.098992634E1
1.848777937E0	1.200522804E1	-1.759762573E1	8.088725090E0	2.278660583E1
1.857011360E0	1.117507553E1	-2.005100060E1	7.702675343E0	2.421272693E1
1.865245206E0	1.021845245E1	-2.179724884E1	6.345412731E0	2.489580467E1
1.873479667E0	9.943166733E0	-2.282141495E1	4.364987850E0	2.527324007E1
1.881715552E0	1.000995159E1	-2.344206238E1	2.075720310E0	2.557416732E1
1.889949398E0	9.842011452E0	-2.498781204E1	8.267235756E-2	2.685633584E1
1.898186744E0	7.611376286E0	-2.764923286E1	-1.039378047E0	2.869657530E1
1.906423629E0	2.807417393E0	-3.039115906E1	-1.771281481E0	3.057190834E1
1.914659321E0	-3.278457642E0	-3.332046509E1	-1.257116079E0	3.350495514E1
1.922894821E0	-9.807880402E0	-3.550050735E1	7.522551417E-1	3.683811108E1
1.931131359E0	-1.579193115E1	-3.704131699E1	3.906732321E0	4.045623328E1
1.939368667E0	-2.032753181E1	-3.811925125E1	7.038461685E0	4.377014746E1
1.947604167E0	-2.460716248E1	-3.829213715E1	9.713834763E0	4.654201111E1
1.955839321E0	-2.808342552E1	-3.758094788E1	1.192520237E1	4.840678551E1
1.964075282E0	-2.990566635E1	-3.643823242E1	1.323508167E1	4.896183257E1
1.972310475E0	-2.909267998E1	-3.614367294E1	1.270156479E1	4.810487366E1
1.980545859E0	-2.625033951E1	-3.561258698E1	1.055978298E1	4.548456543E1
1.988781090E0	-2.102154160E1	-3.565167999E1	7.054233551E0	4.198463658E1
1.997025398E0	-1.367115021E1	-3.570617676E1	2.608368635E0	3.832277382E1
2.005260667E0	-5.191468239E0	-3.464149857E1	-2.452203274E0	3.511407220E1
2.013495859E0	2.983446121E0	-3.244311523E1	-6.559497356E0	3.323377322E1
2.021731090E0	7.564146042E0	-3.021330643E1	-5.449549198E0	3.161894649E1
2.029965936E0	1.025168896E1	-2.696054459E1	-1.797806978E0	2.889983046E1
2.038199897E0	1.471740532E1	-2.227897263E1	7.942955494E-1	2.671302203E1
2.046432628E0	2.270094299E1	-1.583927917E1	1.615917087E0	2.772772558E1
2.054666859E0	3.317199707E1	-7.933930874E0	1.695038080E0	3.414969697E1
2.062900244E0	4.068341827E1	-4.780864716E-1	2.354666233E0	4.075430704E1
2.071135705E0	4.378880692E1	7.387302399E0	2.897173643E0	4.450197145E1
2.079371743E0	4.394207382E1	1.484247589E1	4.339964867E0	4.658369068E1
2.087606897E0	4.249667358E1	2.063060570E1	5.610642433E0	4.757171918E1
2.095841397E0	4.052581787E1	2.490311813E1	7.848005295E0	4.820890368E1
2.104075743E0	3.886941528E1	2.730982208E1	1.083644295E1	4.872459669E1
2.112309666E0	3.722790909E1	2.911419868E1	1.327111530E1	4.908845365E1
2.120543051E0	3.569353485E1	2.932110977E1	1.369831467E1	4.818090631E1
2.128776859E0	3.408755493E1	2.826357269E1	1.211367989E1	4.590786624E1
2.137010820E0	3.323386383E1	2.700186539E1	1.064087486E1	4.412276802E1
2.145245512E0	3.120820427E1	2.466909790E1	8.981388092E0	4.078212521E1
2.153478705E0	2.803528976E1	2.080915833E1	6.683150768E0	3.554803858E1
2.161712012E0	2.341517639E1	1.638818741E1	3.968051434E0	2.885461149E1
2.169944782E0	1.854245758E1	1.205870819E1	1.813764453E0	2.219290242E1
2.178179320E0	1.427126503E1	7.823721409E0	-4.429056644E-1	1.628114823E1
2.186414435E0	1.248985863E1	4.254649639E0	-2.141870022E0	1.336735648E1
2.194647628E0	1.182503128E1	9.172801971E-1	-2.458666325E0	1.211271265E1
2.202880012E0	1.161524296E1	-2.178997517E0	-1.662421227E0	1.193421734E1
2.211112358E0	1.023423195E1	-5.428781986E0	-8.469541073E-1	1.161587314E1
2.219346128E0	7.358745098E0	-8.920745850E0	-1.273059487E0	1.163406706E1
2.227578897E0	5.399524212E0	-1.192459393E1	-2.030290604E0	1.324661775E1
2.235811435E0	3.297040701E0	-1.561908150E1	-3.123469353E0	1.626598429E1
2.244053166E0	-1.340958714E0	-2.051673508E1	-5.020259380E0	2.116453620E1
2.252287358E0	-7.647943497E0	-2.639777756E1	-6.339084148E0	2.820492311E1
2.260521550E0	-1.540120316E1	-3.247221756E1	-5.583657742E0	3.637058160E1
2.268755820E0	-2.176356888E1	-3.522861862E1	-3.914312840E0	4.159363347E1
2.276990897E0	-2.642340088E1	-3.508554077E1	-1.250421405E0	4.394035547E1
2.285226281E0	-2.932113647E1	-3.358918762E1	9.499304295E-1	4.459669200E1
2.293461089E0	-3.133157730E1	-3.160880661E1	2.632696152E0	4.458380289E1
2.301694896E0	-3.509983063E1	-2.725373650E1	4.911042690E0	4.470886493E1
2.309928127E0	-3.731945801E1	-2.311513329E1	6.543477058E0	4.438319980E1
2.318161127E0	-3.898405457E1	-1.906256104E1	6.767907619E0	4.391972583E1
2.326394704E0	-3.800279617E1	-1.727765274E1	5.259227276E0	4.207599402E1
2.334629012E0	-3.372826767E1	-1.756954956E1	4.614543915E-1	3.803285490E1
2.342864050E0	-2.489990425E1	-1.863160706E1	-8.228872299E0	3.216918327E1
2.351098204E0	-1.616537285E1	-1.890650177E1	-1.645068359E1	2.982281139E1
2.359330858E0	-7.569828033E0	-1.752112579E1	-2.279635048E1	2.973156136E1
2.367563896E0	-2.007508278E-1	-1.505162144E1	-2.688435364E1	3.081168738E1
2.375797627E0	5.622830391E0	-1.292660904E1	-2.625534821E1	2.980028108E1
2.384032204E0	8.305831909E0	-9.879968643E0	-2.000211334E1	2.380514991E1
2.392266627E0	8.534858704E0	-7.479415894E0	-1.170091057E1	1.630020808E1
2.400499396E0	9.728509903E0	-6.409419060E0	-3.613896847E0	1.219773782E1
2.408732511E0	1.204940224E1	-5.370020866E0	2.807898998E0	1.348738355E1
2.416965896E0	1.429518986E1	-3.984681606E0	8.926420212E0	1.731794209E1
2.425199665E0	1.701341248E1	-1.801629066E0	1.593998718E1	2.338343993E1
2.433432088E0	2.036040688E1	-2.092736483E0	1.834321976E1	2.748453065E1
2.441664204E0	2.528073120E1	-3.254062653E0	1.290021229E1	2.856781005E1
2.449896550E0	2.811511993E1	-5.780467033E0	6.536926746E0	2.943815856E1
2.458127742E0	2.664507103E1	-8.604389191E0	2.830002785E0	2.814256988E1
2.466359780E0	2.059418106E1	-1.189849567E1	2.280240059E-1	2.378542595E1
2.474590896E0	1.353880405E1	-1.798260880E1	-5.693581104E-1	2.251660727E1
2.482826165E0	5.098865509E0	-2.200779915E1	1.327079296E0	2.262968829E1
2.491068780E0	-2.870203972E0	-2.415665054E1	3.644713163E0	2.459808469E1
2.499302357E0	-7.508906841E0	-2.597459030E1	4.938043594E0	2.748540154E1
2.507535511E0	-9.014101982E0	-2.772356033E1	4.533013821E0	2.950250915E1
2.515768280E0	-8.022579193E0	-2.843084335E1	3.341577053E0	2.972945960E1
2.524000780E0	-5.706305981E0	-2.727647018E1	2.095037937E0	2.794560677E1
2.532232126E0	-1.772293091E0	-2.567160225E1	8.261203766E-2	2.573283913E1
2.540463857E0	1.530281067E0	-2.340100670E1	-1.212735415E0	2.348232531E1
2.548696511E0	3.270440102E0	-1.989404297E1	-1.256900549E0	2.020021097E1
2.556928588E0	4.140295029E0	-1.599409962E1	-6.051459312E-1	1.653237633E1
2.565161088E0	4.660658836E0	-1.296935177E1	-2.362632751E-2	1.378137817E1
2.573394395E0	5.323914528E0	-1.008357525E1	8.181991577E-1	1.143206042E1
2.581628972E0	5.715725899E0	-7.373738289E0	1.740375042E0	9.490544989E0
2.589863626E0	6.249546051E0	-4.948492050E0	1.940228462E0	8.204199285E0
2.598097665E0	8.318237305E0	-2.401764154E0	6.891603470E-1	8.685417946E0
2.606332165E0	9.920750618E0	2.368894815E-1	-4.628019333E-1	9.934364352E0
2.614565972E0	1.095633030E1	3.115946293E0	-1.460425854E0	1.148403843E1
2.622797703E0	1.186978340E1	5.677091599E0	-2.464887857E0	1.338644087E1
2.631030972E0	1.204662514E1	8.306892395E0	-2.486165762E0	1.484273084E1
2.639264588E0	1.179700279E1	1.133047581E1	-1.546187878E0	1.642984035E1
2.647499164E0	1.158846855E1	1.386878967E1	3.363227844E-2	1.807310326E1
2.655732087E0	1.215058708E1	1.646707153E1	1.979463577E0	2.056014317E1
2.663965818E0	1.330711555E1	1.912132263E1	3.855656624E0	2.361292848E1
2.672199818E0	1.479998207E1	2.159305954E1	4.924948692E0	2.663747002E1
2.680433818E0	1.871686363E1	2.290932846E1	3.003291607E0	2.973513200E1
2.688667433E0	2.224125862E1	2.355521011E1	-1.474008560E-1	3.239665470E1
2.696901357E0	2.343915939E1	2.433320618E1	-1.325150967E0	3.381205615E1
